"","sample_id","condition","contig","average_coverage","p_adj","lab","normalized_reads","medium","experiment","gene_function","gene_type"
"1","A01","WW30","k121_68825_2",2.354,0.048783,"Kruskal-Wallis: *",0.0193997311134635,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"2","A01","WW30","k121_1259309_2",1.223,0.0415783333333333,"Kruskal-Wallis: *",0.010078959707632,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"3","A01","WW30","k121_671215_2",5.55,0.0415783333333333,"Kruskal-Wallis: *",0.0457385334238412,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"4","A01","WW30","k121_858589_5",3.26,0.005353,"Kruskal-Wallis: **",0.0268662376507608,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"5","A01","WW30","k121_1519353_3",3.421,0.0415783333333333,"Kruskal-Wallis: *",0.0281930671789119,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"6","A01","WW30","k121_252136_5",2.232,0.005353,"Kruskal-Wallis: **",0.0183943074958583,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"7","A01","WW30","k121_660679_2",0.347,0.048783,"Kruskal-Wallis: *",0.00285968848613926,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"8","A01","WW30","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"9","A01","WW30","k121_895379_1",4.497,0.0333973333333333,"Kruskal-Wallis: *",0.0370605738391016,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"10","A01","WW30","k121_906279_2",0.42,0.0467485714285714,"Kruskal-Wallis: *",0.00346129442126366,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"11","A02","WW80","k121_68825_2",4.412,0.048783,"Kruskal-Wallis: *",0.0379148874369553,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"12","A02","WW80","k121_1259309_2",4.692,0.0415783333333333,"Kruskal-Wallis: *",0.0403210906287839,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"13","A02","WW80","k121_671215_2",7.256,0.0415783333333333,"Kruskal-Wallis: *",0.0623550369996709,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"14","A02","WW80","k121_858589_5",9.56,0.005353,"Kruskal-Wallis: **",0.0821546518352885,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"15","A02","WW80","k121_1519353_3",1.501,0.0415783333333333,"Kruskal-Wallis: *",0.0128989678247665,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"16","A02","WW80","k121_252136_5",2.526,0.005353,"Kruskal-Wallis: **",0.0217073902234246,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"17","A02","WW80","k121_660679_2",2.469,0.048783,"Kruskal-Wallis: *",0.0212175560022309,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"18","A02","WW80","k121_1269806_2",0.068,0.048783,"Kruskal-Wallis: *",0.000584363632301215,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"19","A02","WW80","k121_895379_1",4.621,0.0333973333333333,"Kruskal-Wallis: *",0.0397109462479988,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"20","A02","WW80","k121_906279_2",0.681,0.0467485714285714,"Kruskal-Wallis: *",0.00585222990584011,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"21","A03","WW10","k121_68825_2",0.038,0.048783,"Kruskal-Wallis: *",0.000381889175198573,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"22","A03","WW10","k121_1259309_2",1.223,0.0415783333333333,"Kruskal-Wallis: *",0.012290801612312,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"23","A03","WW10","k121_671215_2",1.251,0.0415783333333333,"Kruskal-Wallis: *",0.0125721936361425,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"24","A03","WW10","k121_858589_5",1.944,0.005353,"Kruskal-Wallis: **",0.0195366462259481,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"25","A03","WW10","k121_1519353_3",4.423,0.0415783333333333,"Kruskal-Wallis: *",0.0444498900500866,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"26","A03","WW10","k121_252136_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"27","A03","WW10","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"28","A03","WW10","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"29","A03","WW10","k121_895379_1",0,0.0333973333333333,"Kruskal-Wallis: *",0,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"30","A03","WW10","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"31","A05","WW10","k121_68825_2",0.14,0.048783,"Kruskal-Wallis: *",0.00171889580687155,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"32","A05","WW10","k121_1259309_2",0.917,0.0415783333333333,"Kruskal-Wallis: *",0.0112587675350086,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"33","A05","WW10","k121_671215_2",1.797,0.0415783333333333,"Kruskal-Wallis: *",0.0220632554639155,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"34","A05","WW10","k121_858589_5",2.811,0.005353,"Kruskal-Wallis: **",0.0345129722365423,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"35","A05","WW10","k121_1519353_3",0.49,0.0415783333333333,"Kruskal-Wallis: *",0.00601613532405041,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"36","A05","WW10","k121_252136_5",0.841,0.005353,"Kruskal-Wallis: **",0.0103256526684212,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"37","A05","WW10","k121_660679_2",1.736,0.048783,"Kruskal-Wallis: *",0.0213143080052072,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"38","A05","WW10","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"39","A05","WW10","k121_895379_1",0.337,0.0333973333333333,"Kruskal-Wallis: *",0.00413762776368365,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"40","A05","WW10","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"41","A06","WW30","k121_68825_2",1.89,0.048783,"Kruskal-Wallis: *",0.0167259117931696,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"42","A06","WW30","k121_1259309_2",2.293,0.0415783333333333,"Kruskal-Wallis: *",0.0202923363712899,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"43","A06","WW30","k121_671215_2",4.705,0.0415783333333333,"Kruskal-Wallis: *",0.0416377857073349,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"44","A06","WW30","k121_858589_5",7.829,0.005353,"Kruskal-Wallis: **",0.0692842134543518,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"45","A06","WW30","k121_1519353_3",3.651,0.0415783333333333,"Kruskal-Wallis: *",0.0323102137337895,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"46","A06","WW30","k121_252136_5",1.334,0.005353,"Kruskal-Wallis: **",0.0118054848317927,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"47","A06","WW30","k121_660679_2",0.347,0.048783,"Kruskal-Wallis: *",0.00307084200647082,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"48","A06","WW30","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"49","A06","WW30","k121_895379_1",2.549,0.0333973333333333,"Kruskal-Wallis: *",0.0225578566988303,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"50","A06","WW30","k121_906279_2",0.42,0.0467485714285714,"Kruskal-Wallis: *",0.00371686928737102,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"51","A07","WW00","k121_68825_2",0.172,0.048783,"Kruskal-Wallis: *",0.00121554589918983,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"52","A07","WW00","k121_1259309_2",0,0.0415783333333333,"Kruskal-Wallis: *",0,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"53","A07","WW00","k121_671215_2",0.331,0.0415783333333333,"Kruskal-Wallis: *",0.00233921914320834,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"54","A07","WW00","k121_858589_5",1.014,0.005353,"Kruskal-Wallis: **",0.00716606710336331,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"55","A07","WW00","k121_1519353_3",3.391,0.0415783333333333,"Kruskal-Wallis: *",0.0239646287450739,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"56","A07","WW00","k121_252136_5",0.096,0.005353,"Kruskal-Wallis: **",0.000678444222803627,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"57","A07","WW00","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"58","A07","WW00","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"59","A07","WW00","k121_895379_1",0,0.0333973333333333,"Kruskal-Wallis: *",0,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"60","A07","WW00","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"61","A08","WW80","k121_68825_2",7.288,0.048783,"Kruskal-Wallis: *",0.0501683185636463,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"62","A08","WW80","k121_1259309_2",9.202,0.0415783333333333,"Kruskal-Wallis: *",0.0633436975058553,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"63","A08","WW80","k121_671215_2",9.225,0.0415783333333333,"Kruskal-Wallis: *",0.0635020223311797,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"64","A08","WW80","k121_858589_5",10.49,0.005353,"Kruskal-Wallis: **",0.072209887724019,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"65","A08","WW80","k121_1519353_3",2.518,0.0415783333333333,"Kruskal-Wallis: *",0.0173331265289876,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"66","A08","WW80","k121_252136_5",8.253,0.005353,"Kruskal-Wallis: **",0.0568110775392115,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"67","A08","WW80","k121_660679_2",3.007,0.048783,"Kruskal-Wallis: *",0.0206992499891444,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"68","A08","WW80","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"69","A08","WW80","k121_895379_1",12.993,0.0333973333333333,"Kruskal-Wallis: *",0.0894397589321428,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"70","A08","WW80","k121_906279_2",3.672,0.0467485714285714,"Kruskal-Wallis: *",0.0252769025474354,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"71","A09","WW00","k121_68825_2",0.541,0.048783,"Kruskal-Wallis: *",0.00324538239074951,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"72","A09","WW00","k121_1259309_2",0.917,0.0415783333333333,"Kruskal-Wallis: *",0.00550095314661239,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"73","A09","WW00","k121_671215_2",0.128,0.0415783333333333,"Kruskal-Wallis: *",0.000767853874336298,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"74","A09","WW00","k121_858589_5",0.101,0.005353,"Kruskal-Wallis: **",0.000605884697718485,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"75","A09","WW00","k121_1519353_3",8.819,0.0415783333333333,"Kruskal-Wallis: *",0.0529039321700923,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"76","A09","WW00","k121_252136_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"77","A09","WW00","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"78","A09","WW00","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"79","A09","WW00","k121_895379_1",0.335,0.0333973333333333,"Kruskal-Wallis: *",0.00200961756173953,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"80","A09","WW00","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"81","A10","WW80","k121_68825_2",4.827,0.048783,"Kruskal-Wallis: *",0.0359218294553882,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"82","A10","WW80","k121_1259309_2",3.211,0.0415783333333333,"Kruskal-Wallis: *",0.0238957933253059,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"83","A10","WW80","k121_671215_2",12.682,0.0415783333333333,"Kruskal-Wallis: *",0.0943775929465988,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"84","A10","WW80","k121_858589_5",2.964,0.005353,"Kruskal-Wallis: **",0.0220576553772054,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"85","A10","WW80","k121_1519353_3",3.933,0.0415783333333333,"Kruskal-Wallis: *",0.0292688119428302,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"86","A10","WW80","k121_252136_5",5.4,0.005353,"Kruskal-Wallis: **",0.0401860118208196,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"87","A10","WW80","k121_660679_2",0.694,0.048783,"Kruskal-Wallis: *",0.0051646467043794,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"88","A10","WW80","k121_1269806_2",0.835,0.048783,"Kruskal-Wallis: *",0.00621394812414525,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"89","A10","WW80","k121_895379_1",3.698,0.0333973333333333,"Kruskal-Wallis: *",0.0275199762432205,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"90","A10","WW80","k121_906279_2",1.261,0.0467485714285714,"Kruskal-Wallis: *",0.00938417794556546,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"91","A11","WW30","k121_68825_2",0.176,0.048783,"Kruskal-Wallis: *",0.00131033003297431,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"92","A11","WW30","k121_1259309_2",1.07,0.0415783333333333,"Kruskal-Wallis: *",0.00796621099592334,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"93","A11","WW30","k121_671215_2",4.939,0.0415783333333333,"Kruskal-Wallis: *",0.0367711365503415,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"94","A11","WW30","k121_858589_5",3.69,0.005353,"Kruskal-Wallis: **",0.0274722603504272,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"95","A11","WW30","k121_1519353_3",5.454,0.0415783333333333,"Kruskal-Wallis: *",0.0406053409081924,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"96","A11","WW30","k121_252136_5",0.47,0.005353,"Kruskal-Wallis: **",0.00349917679260184,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"97","A11","WW30","k121_660679_2",0.312,0.048783,"Kruskal-Wallis: *",0.00232285778572718,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"98","A11","WW30","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"99","A11","WW30","k121_895379_1",3.048,0.0333973333333333,"Kruskal-Wallis: *",0.0226925337528732,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"100","A11","WW30","k121_906279_2",0.933,0.0467485714285714,"Kruskal-Wallis: *",0.00694623818616493,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"101","A12","WW10","k121_68825_2",0.316,0.048783,"Kruskal-Wallis: *",0.00186294335192511,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"102","A12","WW10","k121_1259309_2",0.917,0.0415783333333333,"Kruskal-Wallis: *",0.00540607295479535,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"103","A12","WW10","k121_671215_2",1.017,0.0415783333333333,"Kruskal-Wallis: *",0.00599561199021469,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"104","A12","WW10","k121_858589_5",3.036,0.005353,"Kruskal-Wallis: **",0.0178984051153312,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"105","A12","WW10","k121_1519353_3",5.303,0.0415783333333333,"Kruskal-Wallis: *",0.0312632550482876,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"106","A12","WW10","k121_252136_5",1.032,0.005353,"Kruskal-Wallis: **",0.00608404284552759,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"107","A12","WW10","k121_660679_2",0.684,0.048783,"Kruskal-Wallis: *",0.00403244700226829,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"108","A12","WW10","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"109","A12","WW10","k121_895379_1",1.06,0.0333973333333333,"Kruskal-Wallis: *",0.00624911377544501,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"110","A12","WW10","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"111","A13","WW80","k121_68825_2",3.007,0.048783,"Kruskal-Wallis: *",0.0254187268205218,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"112","A13","WW80","k121_1259309_2",5.962,0.0415783333333333,"Kruskal-Wallis: *",0.0503978880292488,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"113","A13","WW80","k121_671215_2",10.474,0.0415783333333333,"Kruskal-Wallis: *",0.0885386580372949,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"114","A13","WW80","k121_858589_5",6.428,0.005353,"Kruskal-Wallis: **",0.0543370721657181,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"115","A13","WW80","k121_1519353_3",2.459,0.0415783333333333,"Kruskal-Wallis: *",0.0207863815269914,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
