#taxpath	A01.bins	A02.bins	A03.bins	A05.bins	A06.bins	A07.bins	A08.bins	A09.bins	A10.bins	A11.bins	A12.bins	A13.bins	A14.bins	A15.bins	A16.bins	A17.bins	A18.bins	A19.bins	A20.bins	C141.bins	C142.bins	C143.bins	C144.bins	C145.bins	C146.bins	C147.bins	C148.bins	C149.bins	C150.bins	C151.bins	C152.bins	C153.bins	C154.bins	C155.bins	C156.bins	C157.bins	C158.bins	C159.bins	C160.bins	C161.bins	C162.bins	C163.bins	C164.bins	C165.bins	C166.bins	C167.bins	C168.bins	C169.bins	C170.bins	C171.bins	C172.bins	C173.bins	C174.bins	C175.bins	C176.bins	C177.bins	C178.bins	C179.bins	C180.bins	C181.bins	C182.bins	C183.bins	C184.bins	C197.bins	C198.bins	C199.bins	C200.bins	C201.bins	C202.bins	C203.bins	C204.bins	C205.bins	C206.bins	C207.bins	C208.bins
root__Root;domain__Bacteria;phylum__MBNT15	1	0	0	0	0	0	0	1	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	9	14	8	8	7	8	6	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Latescibacterota	5	4	1	2	3	1	15	2	4	3	0	5	3	0	2	6	10	8	17	4	0	1	8	3	0	10	1	0	0	1	4	0	4	2	3	0	7	0	0	3	6	4	0	4	3	3	0	2	0	5	1	16	11	25	38	6	9	31	4	4	3	10	0	0	0	0	0	0	0	0	0	1	1	1	5
root__Root;domain__Bacteria;phylum__LCP-89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Hydrogenedentes	17	19	3	14	13	1	36	13	25	17	8	26	8	9	27	51	81	63	85	29	49	32	2	40	23	10	46	24	47	17	9	5	26	7	96	5	2	6	33	45	62	68	57	113	102	81	72	64	82	69	24	6	3	11	4	4	0	9	2	6	4	9	0	4	13	0	95	120	5	103	11	8	6	22	4
root__Root;domain__Bacteria;phylum__Halanaerobiaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Gemmatimonadota	105	134	131	138	129	210	103	332	72	108	269	113	69	220	213	136	194	229	256	52	40	21	166	212	60	131	21	33	22	55	57	2	121	153	49	0	168	2	141	12	26	25	39	38	27	31	44	20	51	37	6	156	118	106	122	92	66	103	34	69	46	65	4	10	3	0	26	22	3	56	2	19	21	45	31
root__Root;domain__Bacteria;phylum__GAL15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Fusobacteriota	2	1	2	3	1	0	3	3	5	1	2	4	0	0	1	41	45	20	32	4	1	0	2	0	0	3	0	0	0	6	0	1	1	1	0	0	4	0	0	14	18	16	10	17	28	34	12	18	19	14	5	23	401	33	24	33	36	97	66	50	10	206	0	0	0	0	0	3	2	4	3	8	2	6	1
root__Root;domain__Bacteria;phylum__Firmicutes	51	98	14	23	21	20	68	16	57	19	32	61	7	23	36	231	337	199	228	438	441	35	219	161	343	154	59	32	539	399	49	108	194	271	131	32	223	32	203	426	440	478	809	947	983	668	591	671	670	554	123	1391	7583	1672	1803	1678	1066	5036	4787	3316	768	7563	127	75	69	1	166	244	2	72	74	88	115	407	216
root__Root;domain__Bacteria;phylum__Firestonebacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Fibrobacterota	1	8	0	1	5	3	14	0	15	1	1	14	1	0	4	22	36	98	59	14	7	0	4	2	17	0	3	2	5	11	0	2	0	3	1	3	0	1	0	0	2	1	5	5	3	3	3	3	6	6	1	53	110	63	29	49	42	32	44	68	15	54	2	0	0	0	0	3	0	4	0	3	1	1	0
root__Root;domain__Bacteria;phylum__FCPU426	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	6	5	2	2	4	3	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Entotheonellaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Elusimicrobiota	7	4	1	1	0	0	6	0	6	1	0	6	0	0	0	2	4	3	9	0	2	1	0	6	2	2	0	1	2	0	0	0	2	2	2	0	1	0	0	1	0	1	1	2	1	1	1	1	2	0	0	36	31	52	37	40	34	31	24	30	13	23	1	1	0	0	1	1	1	9	1	0	0	0	0
root__Root;domain__Bacteria;phylum__Edwardsbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Desulfobacterota	191	1084	62	46	230	45	1409	109	769	167	89	1184	23	39	391	380	698	746	844	53	51	51	73	110	48	79	72	109	54	60	20	8	75	103	31	7	87	0	76	85	77	49	63	67	47	54	24	37	77	38	8	139	177	126	167	127	116	203	106	75	61	101	3	5	5	15	18	14	0	5	8	7	8	13	8
root__Root;domain__Bacteria;phylum__Dependentiae	3	9	3	6	2	0	13	7	1	1	4	1	3	5	6	20	35	20	33	8	18	2	6	0	11	1	1	0	20	10	0	3	4	5	1	0	9	1	8	13	11	35	41	31	18	13	6	11	5	4	1	41	58	55	47	80	52	31	72	62	53	53	10	1	0	0	30	13	0	12	10	9	12	17	19
root__Root;domain__Bacteria;phylum__Deinococcota	4	3	11	10	2	20	1	8	1	1	18	0	6	13	3	0	0	0	0	7	6	38	18	50	5	19	72	55	3	9	5	0	58	47	76	0	37	0	49	0	1	0	8	9	2	8	9	0	7	10	0	53	24	13	27	42	33	101	75	31	59	129	1	27	33	0	4	0	0	0	1	4	1	0	2
root__Root;domain__Bacteria;phylum__Deferrisomatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Deferribacterota	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	6	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Dadabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	2	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__DTB120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	4	8	6	3	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Cyanobacteria	13280	11851	16347	13014	9933	19955	5111	11523	7936	13056	18507	2717	4946	8646	6415	76	85	67	65	20249	27818	11483	16908	16788	21661	19579	20838	28614	9689	8745	4377	798	25083	18636	16923	1011	21114	621	13721	29	24	28	29	53	57	48	54	41	61	36	3	1149	511	550	771	821	1166	962	669	2085	672	891	157	44	22	7	268	1325	318	2442	1292	3774	3292	752	2947
root__Root;domain__Bacteria;phylum__Coprothermobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Bacteria;phylum__Cloacimonadota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	1	0	4	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	1	0	0	2	1124	1264	183	73	84	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Chloroflexi	144	447	25	26	121	13	359	19	227	89	49	269	15	14	124	796	872	1161	1208	511	697	31	92	163	457	97	70	77	746	328	32	134	100	166	136	32	110	71	131	1886	2147	2117	2793	3791	2766	2749	3329	2852	3331	3591	639	405	319	294	329	239	214	391	242	176	101	143	8	87	100	2	108	150	5	115	69	440	700	1136	496
root__Root;domain__Bacteria;phylum__Campilobacterota	8	9	11	2	2	6	16	1	19	1	3	17	0	3	15	138	189	162	146	15	5	3	5	12	10	7	3	2	5	16	1	3	14	14	1	0	15	0	8	45	48	32	54	57	100	68	60	64	62	81	17	194	2347	270	279	253	151	791	1063	491	423	1522	23	0	0	0	5	2	0	2	0	0	4	1	0
root__Root;domain__Bacteria;phylum__Calditrichota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Caldisericota	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	3	0	0	0	2	2	14	15	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Caldatribacteriota	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	33	21	8	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Bdellovibrionota	310	310	249	168	257	330	248	318	269	277	270	248	134	285	354	767	799	574	515	297	308	75	202	240	214	175	231	161	185	296	63	24	403	243	156	18	238	18	208	202	211	224	345	437	524	600	365	422	489	312	62	571	835	749	623	958	617	481	382	643	632	810	95	54	116	14	7818	3066	106	3414	115	303	407	520	1222
root__Root;domain__Bacteria;phylum__Bacteroidota	3693	4036	3190	3116	3246	3296	3867	3571	3640	3249	3662	3467	1497	3096	3695	8161	8100	6575	7056	3268	4590	1635	2548	2806	3031	2868	2190	2299	3651	2851	676	447	3401	3493	2570	206	3522	263	2539	3003	3115	3065	4064	5330	3569	4030	4192	3537	5025	4410	699	8615	10785	7103	6536	7862	8268	10010	12452	13929	5425	13745	1607	7365	8596	133	6362	6037	451	16173	2742	10895	4664	3114	3395
root__Root;domain__Bacteria;phylum__Armatimonadota	24	9	89	79	18	94	8	100	5	11	93	8	38	109	25	6	13	1	7	6	4	3	140	29	13	147	2	2	2	6	11	0	56	192	7	1	175	1	25	0	1	1	5	8	13	10	3	9	5	5	0	45	39	44	62	42	44	58	41	26	28	19	1	20	25	1	8	12	0	6	5	7	6	19	4
root__Root;domain__Bacteria;phylum__AncK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Actinobacteriota	213	593	85	95	161	166	349	155	209	178	207	217	47	89	173	776	732	852	807	2760	2627	231	1045	797	2305	984	308	278	3353	1885	183	589	609	1517	659	212	1216	268	838	6501	5746	7121	9076	12272	13319	9874	10248	7816	10158	7167	1658	4199	4626	5764	6877	8648	9417	5759	3104	3355	2134	3666	392	5544	5025	158	1478	2294	544	2485	2168	4684	2388	2281	1345
root__Root;domain__Bacteria;phylum__Acidobacteriota	304	411	219	200	328	200	281	359	215	394	315	282	110	221	405	243	244	167	208	140	112	60	259	214	119	242	94	90	88	107	50	14	170	310	139	12	272	4	215	72	67	64	101	160	90	78	148	104	138	126	29	500	358	304	500	264	270	489	170	151	153	175	18	125	63	1	179	309	15	302	119	185	131	184	115
root__Root;domain__Bacteria;phylum__Acetothermia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Abditibacteriota	2	0	0	2	1	2	0	2	0	1	3	0	0	0	4	0	0	0	0	0	2	0	2	5	2	0	0	1	0	1	0	0	1	4	1	0	2	0	1	0	0	0	1	0	1	0	0	0	3	0	0	28	25	9	20	10	2	26	14	7	12	21	2	0	2	0	1	0	0	0	0	0	0	1	0
root__Root;domain__Archaea;phylum__Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	7	4	7	6	4	7	15	17	6	1	0	1	0	0	0	0	0	0	0	0	0	0	1
root__Root;domain__Archaea;phylum__Nanoarchaeota	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	7	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	37	80	53	80	61	60	55	42	36	45	7	0	0	0	0	0	0	0	0	1	0	5	2
root__Root;domain__Archaea;phylum__Micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	8	0	2	3	0	2	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Iainarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	3	5	5	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Hydrothermarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Halobacterota	1	0	0	1	0	2	9	5	9	5	5	7	1	2	2	11	0	0	0	3	5	1	7	1	6	11	4	0	6	3	0	0	4	24	3	0	13	0	3	4	1	3	4	6	1	2	4	3	7	0	0	32	37	42	41	37	38	109	140	61	27	33	1	5	5	0	2	2	1	2	1	1	4	106	60
root__Root;domain__Archaea;phylum__Hadarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Euryarchaeota	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	6	3	1	5	1	3	0	0	2	1	2	1	0	6	1	1	1	3	1	3	1	5	1	5	3	6	3	13	9	9	12	6	1	16	3	0	12	12	8	10	19	5	24	53	21	11	22	2	0	2	0	0	0	1	0	0	0	1	2	0
root__Root;domain__Archaea;phylum__Crenarchaeota	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	4	6	2	16	12	5	15	6	0	2	5	5	0	22	11	11	0	19	0	13	0	0	0	0	3	0	1	0	0	0	0	0	63	109	56	47	36	26	56	44	41	34	43	3	4	2	0	0	0	0	0	0	0	0	2	0
root__Root;domain__Archaea;phylum__Asgardarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Altiarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Aenigmarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	1	5	0	10	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned	2370	2271	2322	2087	2021	3158	2030	2938	2012	2073	3084	1495	1072	2285	2103	1705	1980	1870	2118	2232	3556	2093	2235	2724	2554	2835	3763	2869	2551	2197	673	368	3273	3277	4904	164	3625	208	2890	2791	3327	2447	2398	2580	3072	2183	2454	2147	2466	2065	393	3634	5918	5781	5615	7099	6140	11000	7190	4895	14501	8038	463	13979	15820	4421	4726	3139	148	1814	3143	3910	3554	2895	2810
Unaligned	10830	9968	9967	10596	8197	12179	7143	9102	7790	9796	11685	5570	3813	8583	8412	5764	7271	5512	6420	12252	14322	9802	9965	11385	12394	11380	14651	14924	9902	9053	2980	1394	15895	12697	15215	784	15245	821	11092	3846	3950	3896	5136	6093	7596	6154	4679	6200	6339	5175	1105	8004	6788	8721	9708	12614	11778	11404	8111	8223	8567	8954	907	3769	4037	866	7939	5531	371	7500	2208	5773	4383	6876	4613
